GEO_ID,NAME,K200301_001E,K200301_001M,K200301_002E,K200301_002M,K200301_003E,K200301_003M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino
0500000US23007,"Franklin County, Maine",29988,*****,29484,659,504,659
0500000US23009,"Hancock County, Maine",54497,*****,53687,*****,810,*****
0500000US23011,"Kennebec County, Maine",121821,*****,119933,*****,1888,*****
0500000US23013,"Knox County, Maine",39790,*****,39092,402,698,402
0500000US23015,"Lincoln County, Maine",34204,*****,33822,271,382,271
0500000US23017,"Oxford County, Maine",57439,*****,56689,*****,750,*****
0500000US23019,"Penobscot County, Maine",151957,*****,149939,*****,2018,*****
0500000US23023,"Sagadahoc County, Maine",35392,*****,34788,*****,604,*****
0500000US23025,"Somerset County, Maine",50626,*****,50063,*****,563,*****
0500000US23027,"Waldo County, Maine",39832,*****,39530,222,302,222
0500000US23029,"Washington County, Maine",31593,*****,30898,*****,695,*****
0500000US23031,"York County, Maine",204191,*****,200714,*****,3477,*****
0500000US24001,"Allegany County, Maryland",71615,*****,70331,*****,1284,*****
0500000US24003,"Anne Arundel County, Maryland",573235,*****,528142,*****,45093,*****
0500000US24005,"Baltimore County, Maryland",832468,*****,786573,*****,45895,*****
0500000US24009,"Calvert County, Maryland",91502,*****,87836,*****,3666,*****
0500000US24011,"Caroline County, Maryland",33193,*****,30703,*****,2490,*****
0500000US24013,"Carroll County, Maryland",167781,*****,161748,*****,6033,*****
0500000US24015,"Cecil County, Maryland",102746,*****,98190,*****,4556,*****
0500000US24017,"Charles County, Maryland",159700,*****,150419,*****,9281,*****
0500000US24019,"Dorchester County, Maryland",32162,*****,31586,496,576,496
0500000US24021,"Frederick County, Maryland",252022,*****,227836,*****,24186,*****
0500000US24023,"Garrett County, Maryland",29233,*****,29178,90,55,90
0500000US24025,"Harford County, Maryland",252160,*****,240645,*****,11515,*****
0500000US24027,"Howard County, Maryland",321113,*****,299140,*****,21973,*****
0500000US24031,"Montgomery County, Maryland",1058810,*****,851418,*****,207392,*****
0500000US24033,"Prince George's County, Maryland",912756,*****,743717,*****,169039,*****
0500000US24035,"Queen Anne's County, Maryland",49770,*****,47797,*****,1973,*****
0500000US24037,"St. Mary's County, Maryland",112667,*****,106756,*****,5911,*****
0500000US24039,"Somerset County, Maryland",25918,*****,25436,245,482,245
0500000US24041,"Talbot County, Maryland",37103,*****,34476,*****,2627,*****
0500000US24043,"Washington County, Maryland",150578,*****,142995,*****,7583,*****
0500000US24045,"Wicomico County, Maryland",102923,*****,97400,*****,5523,*****
0500000US24047,"Worcester County, Maryland",51690,*****,49888,*****,1802,*****
0500000US24510,"Baltimore city, Maryland",611648,*****,579153,*****,32495,*****
0500000US25001,"Barnstable County, Massachusetts",213444,*****,207097,*****,6347,*****
0500000US25003,"Berkshire County, Massachusetts",126313,*****,120457,*****,5856,*****
0500000US25005,"Bristol County, Massachusetts",561483,*****,516640,*****,44843,*****
0500000US25009,"Essex County, Massachusetts",785205,*****,620097,*****,165108,*****
0500000US25011,"Franklin County, Massachusetts",70702,*****,67846,*****,2856,*****
0500000US25013,"Hampden County, Massachusetts",469818,*****,351164,*****,118654,*****
0500000US25015,"Hampshire County, Massachusetts",161834,*****,152698,*****,9136,*****
0500000US25017,"Middlesex County, Massachusetts",1602947,*****,1474333,*****,128614,*****
0500000US25021,"Norfolk County, Massachusetts",700322,*****,668399,*****,31923,*****
0500000US25023,"Plymouth County, Massachusetts",515142,*****,495071,*****,20071,*****
0500000US25025,"Suffolk County, Massachusetts",797939,*****,614914,*****,183025,*****
0500000US25027,"Worcester County, Massachusetts",826116,*****,731418,*****,94698,*****
0500000US26005,"Allegan County, Michigan",116447,*****,107860,*****,8587,*****
0500000US26007,"Alpena County, Michigan",28462,*****,28266,124,196,124
0500000US26009,"Antrim County, Michigan",23292,*****,22765,*****,527,*****
0500000US26015,"Barry County, Michigan",60586,*****,58750,*****,1836,*****
0500000US26017,"Bay County, Michigan",104239,*****,98660,*****,5579,*****
0500000US26021,"Berrien County, Michigan",154259,*****,145744,*****,8515,*****
0500000US26023,"Branch County, Michigan",43410,*****,41360,*****,2050,*****
0500000US26025,"Calhoun County, Michigan",134128,*****,127061,*****,7067,*****
0500000US26027,"Cass County, Michigan",51381,*****,49391,*****,1990,*****
0500000US26029,"Charlevoix County, Michigan",26139,*****,25635,*****,504,*****
0500000US26031,"Cheboygan County, Michigan",25369,*****,24993,*****,376,*****
0500000US26033,"Chippewa County, Michigan",37711,*****,37011,*****,700,*****
0500000US26035,"Clare County, Michigan",30653,*****,30000,450,653,450
0500000US26037,"Clinton County, Michigan",78443,*****,74907,*****,3536,*****
0500000US26041,"Delta County, Michigan",35965,*****,35503,*****,462,*****
0500000US26043,"Dickinson County, Michigan",25415,*****,25035,*****,380,*****
0500000US26045,"Eaton County, Michigan",109027,*****,103224,*****,5803,*****
0500000US26047,"Emmet County, Michigan",33193,*****,32634,*****,559,*****
0500000US26049,"Genesee County, Michigan",407385,*****,393485,*****,13900,*****
0500000US26051,"Gladwin County, Michigan",25234,*****,24812,*****,422,*****
0500000US26055,"Grand Traverse County, Michigan",91807,*****,89142,*****,2665,*****
0500000US26057,"Gratiot County, Michigan",41018,*****,38491,*****,2527,*****
0500000US26059,"Hillsdale County, Michigan",45879,*****,44838,*****,1041,*****
0500000US26061,"Houghton County, Michigan",36305,*****,35738,*****,567,*****
0500000US26063,"Huron County, Michigan",31280,*****,30528,*****,752,*****
0500000US26065,"Ingham County, Michigan",290186,*****,267726,*****,22460,*****
0500000US26067,"Ionia County, Michigan",64291,*****,61171,*****,3120,*****
0500000US26069,"Iosco County, Michigan",25162,*****,24606,*****,556,*****
0500000US26073,"Isabella County, Michigan",71063,*****,68304,*****,2759,*****
0500000US26075,"Jackson County, Michigan",158640,*****,153039,*****,5601,*****
0500000US26077,"Kalamazoo County, Michigan",262985,*****,249988,*****,12997,*****
0500000US26081,"Kent County, Michigan",648594,*****,580113,*****,68481,*****
0500000US26087,"Lapeer County, Michigan",88174,*****,84054,*****,4120,*****
0500000US26089,"Leelanau County, Michigan",21657,*****,20710,*****,947,*****
0500000US26091,"Lenawee County, Michigan",98623,*****,90762,*****,7861,*****
0500000US26093,"Livingston County, Michigan",189651,*****,185012,*****,4639,*****
0500000US26099,"Macomb County, Michigan",871375,*****,848707,*****,22668,*****
0500000US26101,"Manistee County, Michigan",24427,*****,23665,*****,762,*****
0500000US26103,"Marquette County, Michigan",66502,*****,65479,*****,1023,*****
0500000US26105,"Mason County, Michigan",29073,*****,27723,*****,1350,*****
0500000US26107,"Mecosta County, Michigan",43391,*****,42424,*****,967,*****
0500000US26109,"Menominee County, Michigan",23046,*****,22635,*****,411,*****
0500000US26111,"Midland County, Michigan",83411,*****,81104,*****,2307,*****
0500000US26115,"Monroe County, Michigan",149649,*****,144262,*****,5387,*****
0500000US26117,"Montcalm County, Michigan",63550,*****,61336,*****,2214,*****
0500000US26121,"Muskegon County, Michigan",173693,*****,163832,*****,9861,*****
0500000US26123,"Newaygo County, Michigan",48242,*****,45459,*****,2783,*****
0500000US26125,"Oakland County, Michigan",1250836,*****,1200226,*****,50610,*****
0500000US26127,"Oceana County, Michigan",26442,*****,22498,*****,3944,*****
0500000US26129,"Ogemaw County, Michigan",20981,*****,20513,*****,468,*****
0500000US26133,"Osceola County, Michigan",23260,*****,22838,*****,422,*****
