GEO_ID,NAME,K200501_001E,K200501_001M,K200501_002E,K200501_002M,K200501_003E,K200501_003M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!U.S. citizen,Margin of Error!!Total!!U.S. citizen,Estimate!!Total!!Not a U.S. citizen,Margin of Error!!Total!!Not a U.S. citizen
0500000US26137,"Otsego County, Michigan",24538,*****,24442,85,96,85
0500000US26139,"Ottawa County, Michigan",286383,*****,279014,1868,7369,1868
0500000US26143,"Roscommon County, Michigan",23895,*****,23856,48,39,48
0500000US26145,"Saginaw County, Michigan",191934,*****,189394,1091,2540,1091
0500000US26147,"St. Clair County, Michigan",159350,*****,157822,602,1528,602
0500000US26149,"St. Joseph County, Michigan",60947,*****,59280,526,1667,526
0500000US26151,"Sanilac County, Michigan",41269,*****,40783,208,486,208
0500000US26155,"Shiawassee County, Michigan",68446,*****,67937,355,509,355
0500000US26157,"Tuscola County, Michigan",52764,*****,52624,161,140,161
0500000US26159,"Van Buren County, Michigan",75353,*****,72692,876,2661,876
0500000US26161,"Washtenaw County, Michigan",367627,*****,345566,2778,22061,2778
0500000US26163,"Wayne County, Michigan",1753616,*****,1676981,6493,76635,6493
0500000US26165,"Wexford County, Michigan",33276,*****,33125,109,151,109
0500000US27003,"Anoka County, Minnesota",351373,*****,338318,1944,13055,1944
0500000US27005,"Becker County, Minnesota",34098,*****,34006,65,92,65
0500000US27007,"Beltrami County, Minnesota",46513,*****,46209,197,304,197
0500000US27009,"Benton County, Minnesota",39937,*****,38764,803,1173,803
0500000US27013,"Blue Earth County, Minnesota",66973,*****,64955,670,2018,670
0500000US27015,"Brown County, Minnesota",25194,*****,24926,241,268,241
0500000US27017,"Carlton County, Minnesota",35498,*****,35346,138,152,138
0500000US27019,"Carver County, Minnesota",102119,*****,100980,619,1139,619
0500000US27021,"Cass County, Minnesota",29355,*****,29270,124,85,124
0500000US27025,"Chisago County, Minnesota",55308,*****,54102,1270,1206,1270
0500000US27027,"Clay County, Minnesota",63569,*****,61606,1476,1963,1476
0500000US27035,"Crow Wing County, Minnesota",64424,*****,64284,140,140,140
0500000US27037,"Dakota County, Minnesota",421751,*****,405850,2801,15901,2801
0500000US27039,"Dodge County, Minnesota",20762,*****,20504,132,258,132
0500000US27041,"Douglas County, Minnesota",37575,*****,37528,75,47,75
0500000US27045,"Fillmore County, Minnesota",20980,*****,20882,102,98,102
0500000US27047,"Freeborn County, Minnesota",30535,*****,28781,486,1754,486
0500000US27049,"Goodhue County, Minnesota",46304,*****,45795,370,509,370
0500000US27053,"Hennepin County, Minnesota",1252024,*****,1167836,5967,84188,5967
0500000US27057,"Hubbard County, Minnesota",21018,*****,20996,36,22,36
0500000US27059,"Isanti County, Minnesota",39582,*****,39421,150,161,150
0500000US27061,"Itasca County, Minnesota",45137,*****,44978,208,159,208
0500000US27067,"Kandiyohi County, Minnesota",42743,*****,40343,813,2400,813
0500000US27079,"Le Sueur County, Minnesota",28111,*****,27596,396,515,396
0500000US27083,"Lyon County, Minnesota",25831,*****,24810,562,1021,562
0500000US27085,"McLeod County, Minnesota",35884,*****,35474,357,410,357
0500000US27091,"Martin County, Minnesota",19850,*****,19832,24,18,24
0500000US27093,"Meeker County, Minnesota",23131,*****,23108,25,23,25
0500000US27095,"Mille Lacs County, Minnesota",25872,*****,25691,126,181,126
0500000US27097,"Morrison County, Minnesota",33064,*****,32856,132,208,132
0500000US27099,"Mower County, Minnesota",39566,*****,36339,764,3227,764
0500000US27103,"Nicollet County, Minnesota",33966,*****,32901,500,1065,500
0500000US27105,"Nobles County, Minnesota",21944,*****,19076,1022,2868,1022
0500000US27109,"Olmsted County, Minnesota",154930,*****,145128,2461,9802,2461
0500000US27111,"Otter Tail County, Minnesota",58345,*****,57021,379,1324,379
0500000US27115,"Pine County, Minnesota",29203,*****,28905,377,298,377
0500000US27119,"Polk County, Minnesota",31619,*****,31270,200,349,200
0500000US27123,"Ramsey County, Minnesota",547974,*****,501025,5804,46949,5804
0500000US27131,"Rice County, Minnesota",65968,*****,62413,1189,3555,1189
0500000US27137,"St. Louis County, Minnesota",200000,*****,197568,709,2432,709
0500000US27139,"Scott County, Minnesota",145827,*****,141059,1216,4768,1216
0500000US27141,"Sherburne County, Minnesota",94570,*****,93591,680,979,680
0500000US27145,"Stearns County, Minnesota",157822,*****,148563,2526,9259,2526
0500000US27147,"Steele County, Minnesota",36887,*****,36748,207,139,207
0500000US27153,"Todd County, Minnesota",24515,*****,24262,197,253,197
0500000US27157,"Wabasha County, Minnesota",21608,*****,21445,163,163,163
0500000US27163,"Washington County, Minnesota",256348,*****,250859,1563,5489,1563
0500000US27169,"Winona County, Minnesota",50873,*****,49861,581,1012,581
0500000US27171,"Wright County, Minnesota",134286,*****,133324,429,962,429
0500000US28001,"Adams County, Mississippi",30739,2481,28235,2633,2504,1112
0500000US28003,"Alcorn County, Mississippi",37210,*****,36802,565,408,565
0500000US28011,"Bolivar County, Mississippi",31945,*****,31444,384,501,384
0500000US28027,"Coahoma County, Mississippi",23154,*****,23043,169,111,169
0500000US28029,"Copiah County, Mississippi",28516,*****,27966,423,550,424
0500000US28033,"DeSoto County, Mississippi",178751,*****,173773,991,4978,991
0500000US28035,"Forrest County, Mississippi",75471,*****,74410,414,1061,414
0500000US28039,"George County, Mississippi",24094,*****,24094,217,0,217
0500000US28045,"Hancock County, Mississippi",47053,*****,46638,486,415,486
0500000US28047,"Harrison County, Mississippi",205027,*****,201133,1604,3894,1604
0500000US28049,"Hinds County, Mississippi",239497,*****,238503,660,994,660
0500000US28057,"Itawamba County, Mississippi",23508,*****,23441,128,67,128
0500000US28059,"Jackson County, Mississippi",142152,*****,140011,1198,2141,1198
0500000US28067,"Jones County, Mississippi",67930,*****,66134,816,1796,816
0500000US28071,"Lafayette County, Mississippi",54374,*****,53363,652,1011,652
0500000US28073,"Lamar County, Mississippi",61374,*****,60669,743,705,743
0500000US28075,"Lauderdale County, Mississippi",76155,*****,75307,380,848,380
0500000US28079,"Leake County, Mississippi",22715,*****,22571,260,144,260
0500000US28081,"Lee County, Mississippi",84933,*****,84229,485,704,485
0500000US28083,"Leflore County, Mississippi",29223,*****,29081,197,142,197
0500000US28085,"Lincoln County, Mississippi",34347,*****,34113,381,234,381
0500000US28087,"Lowndes County, Mississippi",59186,*****,59102,148,84,148
0500000US28089,"Madison County, Mississippi",104618,*****,102382,805,2236,805
0500000US28091,"Marion County, Mississippi",25069,*****,24807,301,262,301
0500000US28093,"Marshall County, Mississippi",35619,*****,35207,317,412,317
0500000US28095,"Monroe County, Mississippi",35872,*****,35634,230,238,230
0500000US28099,"Neshoba County, Mississippi",29369,*****,29220,189,149,189
0500000US28101,"Newton County, Mississippi",22650,2043,22650,2043,0,217
0500000US28105,"Oktibbeha County, Mississippi",49799,*****,48727,522,1072,522
0500000US28107,"Panola County, Mississippi",33994,*****,33551,698,443,698
0500000US28109,"Pearl River County, Mississippi",55270,*****,54843,196,427,196
0500000US28113,"Pike County, Mississippi",39468,*****,39340,168,128,168
0500000US28115,"Pontotoc County, Mississippi",31640,*****,30321,298,1319,298
0500000US28117,"Prentiss County, Mississippi",25261,*****,25261,1,0,217
0500000US28121,"Rankin County, Mississippi",152080,*****,149865,774,2215,774
0500000US28123,"Scott County, Mississippi",28420,*****,26637,1284,1783,1284
0500000US28127,"Simpson County, Mississippi",27977,2464,27917,2468,60,97
0500000US28133,"Sunflower County, Mississippi",25981,*****,25981,217,0,217
0500000US28137,"Tate County, Mississippi",28441,*****,28441,1,0,217
0500000US28139,"Tippah County, Mississippi",21969,*****,21969,1,0,217
0500000US28145,"Union County, Mississippi",28556,*****,28173,328,383,328
0500000US28149,"Warren County, Mississippi",46768,*****,46738,18,30,18
0500000US28151,"Washington County, Mississippi",46221,*****,46071,243,150,243
0500000US28153,"Wayne County, Mississippi",20446,*****,20446,217,0,217
0500000US28163,"Yazoo County, Mississippi",26106,2905,24788,3133,1318,2474
0500000US29001,"Adair County, Missouri",25377,*****,23625,672,1752,672
0500000US29007,"Audrain County, Missouri",25641,*****,25035,455,606,455
0500000US29009,"Barry County, Missouri",35668,*****,34862,600,806,600
0500000US29019,"Boone County, Missouri",178271,*****,173045,1429,5226,1429
0500000US29021,"Buchanan County, Missouri",89065,*****,86208,1649,2857,1649
0500000US29027,"Callaway County, Missouri",45032,*****,44838,177,194,177
0500000US29029,"Camden County, Missouri",45632,*****,45595,52,37,52
