GEO_ID,NAME,K201901_001E,K201901_001M,K201901_002E,K201901_002M,K201901_003E,K201901_003M,K201901_004E,K201901_004M,K201901_005E,K201901_005M,K201901_006E,K201901_006M,K201901_007E,K201901_007M,K201901_008E,K201901_008M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,"Estimate!!Total!!Less than $20,000","Margin of Error!!Total!!Less than $20,000","Estimate!!Total!!$20,000 to $39,999","Margin of Error!!Total!!$20,000 to $39,999","Estimate!!Total!!$40,000 to $59,999","Margin of Error!!Total!!$40,000 to $59,999","Estimate!!Total!!$60,000 to $99,999","Margin of Error!!Total!!$60,000 to $99,999","Estimate!!Total!!$100,000 to $149,999","Margin of Error!!Total!!$100,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
0500000US01097,"Mobile County, Alabama",154683,2623,37238,2333,32040,2979,25593,2288,31531,2812,18176,2439,4833,1027,5272,1139
0500000US01099,"Monroe County, Alabama",7728,982,3107,895,1920,789,1036,524,1029,410,250,187,296,275,90,131
0500000US01101,"Montgomery County, Alabama",88554,2328,20376,1969,18849,2039,14645,2078,18724,1998,9888,1409,3109,690,2963,715
0500000US01103,"Morgan County, Alabama",45360,1666,8267,1417,11374,1737,7336,1403,9808,1361,5468,922,1875,551,1232,475
0500000US01107,"Pickens County, Alabama",6705,863,1586,506,1395,446,1259,479,1479,485,764,403,55,79,167,136
0500000US01109,"Pike County, Alabama",9511,1224,2074,649,2305,674,1604,675,2120,671,800,345,440,323,168,167
0500000US01111,"Randolph County, Alabama",8371,802,1782,653,1953,590,2013,699,1628,615,386,322,312,280,297,310
0500000US01113,"Russell County, Alabama",23931,1282,7682,1318,5606,1273,4447,1295,3660,891,1718,777,449,384,369,237
0500000US01115,"St. Clair County, Alabama",33241,1228,6576,1544,6870,1419,6472,1387,8227,1580,3538,1024,1017,450,541,320
0500000US01117,"Shelby County, Alabama",78666,1740,8761,1542,10690,1921,11974,1702,19123,1600,16196,1977,5701,1200,6221,1004
0500000US01121,"Talladega County, Alabama",31759,1666,7237,1334,8704,1606,5712,1243,6518,1243,2425,860,644,443,519,262
0500000US01123,"Tallapoosa County, Alabama",15278,1429,3826,917,2640,687,3266,819,2897,830,1725,593,442,368,482,303
0500000US01125,"Tuscaloosa County, Alabama",72243,2156,13459,1747,12537,1635,14071,1924,16856,2116,9994,1522,3276,866,2050,645
0500000US01127,"Walker County, Alabama",25231,1131,6328,1044,5443,983,4290,944,5501,914,2480,703,614,342,575,394
0500000US01133,"Winston County, Alabama",8978,1047,2635,805,2343,625,1314,494,1822,592,563,281,58,87,243,232
0500000US02020,"Anchorage Municipality, Alaska",107373,1962,7848,1568,14729,2185,15529,1793,27476,2610,21807,2194,10570,1763,9414,1350
0500000US02090,"Fairbanks North Star Borough, Alaska",35046,1911,2147,752,5717,1324,6175,1408,8158,1633,7740,1359,2717,962,2392,883
0500000US02110,"Juneau City and Borough, Alaska",12429,597,1108,416,1051,432,1628,627,3345,787,2725,615,1154,420,1418,510
0500000US02122,"Kenai Peninsula Borough, Alaska",21901,1081,3339,842,4171,861,3441,689,4769,971,3454,769,1368,507,1359,549
0500000US02170,"Matanuska-Susitna Borough, Alaska",29443,714,4146,661,4476,670,4419,590,6418,716,6043,672,2278,429,1663,366
0500000US04001,"Apache County, Arizona",20550,889,7301,596,4474,741,3074,723,3765,695,1580,576,296,183,60,53
0500000US04003,"Cochise County, Arizona",48939,2023,8532,1547,9871,1514,9199,1350,12798,1543,5668,1061,1288,437,1583,623
0500000US04005,"Coconino County, Arizona",47977,2031,9321,1402,9362,1406,7338,1254,12144,1655,4894,1053,2027,578,2891,885
0500000US04007,"Gila County, Arizona",22052,1699,6472,1319,5454,1161,3871,924,3560,794,1323,572,952,521,420,305
0500000US04009,"Graham County, Arizona",10414,1037,2492,714,1759,615,2520,664,2077,573,1069,410,497,280,0,208
0500000US04013,"Maricopa County, Arizona",1536579,7831,196618,7520,278253,7791,259295,8563,364992,6712,238741,7197,94662,4580,104018,4571
0500000US04015,"Mohave County, Arizona",87565,2751,18090,1880,22111,2385,18346,2172,16823,2318,7336,1453,2773,980,2086,704
0500000US04017,"Navajo County, Arizona",36094,1644,9692,1091,7778,1105,6314,1034,6683,1033,3439,807,1685,753,503,271
0500000US04019,"Pima County, Arizona",403574,3977,75009,3564,84739,3744,68938,3779,88888,4793,51433,2675,16671,2047,17896,1908
0500000US04021,"Pinal County, Arizona",139097,3499,24362,2394,27139,2851,27215,2787,35299,3178,16205,1866,5589,1346,3288,763
0500000US04023,"Santa Cruz County, Arizona",15591,733,4038,1013,4043,1058,3539,932,1923,749,1443,664,261,199,344,260
0500000US04025,"Yavapai County, Arizona",98369,2960,16239,2520,21794,2746,19879,2631,22474,2607,12281,1782,3079,982,2623,704
0500000US04027,"Yuma County, Arizona",74620,2261,15803,1809,16101,1958,14017,1915,16951,2202,8376,1673,2210,675,1162,480
0500000US05003,"Ashley County, Arkansas",7511,888,1935,611,2118,700,1269,567,992,380,814,362,162,138,221,208
0500000US05005,"Baxter County, Arkansas",17979,1257,3399,852,4726,997,4377,942,2493,682,1631,580,973,559,380,345
0500000US05007,"Benton County, Arkansas",97134,1708,10363,1428,16178,1918,18111,1716,24952,2623,12715,1491,8595,1638,6220,968
0500000US05009,"Boone County, Arkansas",15040,748,3350,967,3586,886,3554,911,2913,659,1295,649,172,196,170,199
0500000US05015,"Carroll County, Arkansas",10434,1019,2563,775,2681,833,1575,532,2558,808,554,337,270,233,233,209
0500000US05019,"Clark County, Arkansas",8534,690,1703,556,2616,717,1650,590,1646,495,645,291,85,103,189,160
0500000US05023,"Cleburne County, Arkansas",10516,840,2035,588,2713,675,1972,583,2540,658,725,359,244,190,287,201
0500000US05027,"Columbia County, Arkansas",8400,861,2612,812,2187,681,1220,585,1322,581,850,408,112,192,97,150
0500000US05029,"Conway County, Arkansas",8209,818,1979,769,2151,655,1541,578,1503,555,395,239,438,289,202,215
0500000US05031,"Craighead County, Arkansas",42115,1290,6977,1351,10335,1702,7864,1456,7883,1634,6075,1516,1511,686,1470,537
0500000US05033,"Crawford County, Arkansas",24778,925,4620,1151,7305,1365,3493,991,6097,1074,2227,664,852,557,184,200
0500000US05035,"Crittenden County, Arkansas",18607,694,4932,831,4480,884,2962,780,2928,684,2411,591,519,260,375,222
0500000US05045,"Faulkner County, Arkansas",44870,1319,7400,1429,11440,1567,6727,1301,10460,1495,5376,1097,1953,635,1514,669
0500000US05051,"Garland County, Arkansas",38594,1792,7921,1674,8568,1300,7435,1492,8352,1390,3576,1036,1709,660,1033,567
0500000US05055,"Greene County, Arkansas",17154,755,2902,894,4399,1017,3222,771,4675,1147,1470,523,391,355,95,119
0500000US05057,"Hempstead County, Arkansas",9872,943,2176,852,1963,716,1509,630,3153,897,900,596,110,119,61,106
0500000US05059,"Hot Spring County, Arkansas",13249,737,3106,830,3429,862,3017,799,2512,633,718,342,416,319,51,73
0500000US05063,"Independence County, Arkansas",14087,853,3343,777,3698,836,2467,798,2973,796,672,375,700,494,234,205
0500000US05069,"Jefferson County, Arkansas",26537,1657,6300,1069,7498,1208,4444,995,4990,1051,2618,701,331,251,356,264
0500000US05071,"Johnson County, Arkansas",9495,806,2336,565,2225,637,1693,507,1707,563,977,459,441,359,116,143
0500000US05083,"Logan County, Arkansas",8201,642,2154,565,2477,573,1542,557,1541,465,385,241,72,75,30,49
0500000US05085,"Lonoke County, Arkansas",27121,809,4194,989,6696,1361,5086,1194,5983,1021,2809,684,1603,547,750,343
0500000US05091,"Miller County, Arkansas",16918,886,3899,863,3419,979,3150,868,3718,877,2076,656,432,292,224,218
0500000US05093,"Mississippi County, Arkansas",17552,963,5193,928,3243,857,4448,1060,2837,711,1127,482,403,214,301,228
0500000US05103,"Ouachita County, Arkansas",9660,938,2503,759,2613,796,1644,712,1976,605,765,344,66,114,93,121
0500000US05111,"Poinsett County, Arkansas",8972,744,2164,459,1569,448,2453,659,2189,629,465,258,73,94,59,61
0500000US05113,"Polk County, Arkansas",8107,843,2346,628,2022,539,1550,624,1443,493,414,251,157,142,175,170
0500000US05115,"Pope County, Arkansas",22723,1190,4732,971,5656,1058,3682,1041,4889,1111,2177,659,593,364,994,544
0500000US05119,"Pulaski County, Arkansas",156546,2979,27628,2722,33001,2837,26012,2686,34474,3126,18361,2364,8905,1464,8165,1281
0500000US05123,"St. Francis County, Arkansas",9429,764,3707,927,2360,692,1345,450,935,448,834,425,46,88,202,193
0500000US05125,"Saline County, Arkansas",44420,1474,4928,1103,8089,1360,9250,1408,11172,1496,7292,1263,2050,602,1639,534
0500000US05131,"Sebastian County, Arkansas",50734,1807,11156,1699,13317,1876,8409,1711,10566,1819,4955,1105,1418,640,913,480
0500000US05139,"Union County, Arkansas",15354,1192,3382,832,3344,1017,2426,759,3989,956,1451,707,422,329,340,276
0500000US05143,"Washington County, Arkansas",85290,2391,13854,1971,21057,2450,14847,2094,18118,2087,8949,1478,4661,1347,3804,863
0500000US05145,"White County, Arkansas",29067,1396,5742,1024,7449,1208,4365,1007,6454,1415,3825,1082,763,457,469,284
0500000US05149,"Yell County, Arkansas",7409,743,1530,610,1818,676,1515,584,1313,588,942,470,189,166,102,143
0500000US06001,"Alameda County, California",573589,3461,59439,3798,64621,3802,61203,3218,109960,4623,107858,4346,69079,3595,101429,4093
0500000US06005,"Amador County, California",13863,955,2048,634,2734,709,1863,652,3433,872,2495,860,499,368,791,542
0500000US06007,"Butte County, California",88797,2187,18737,1792,17958,2036,15020,2054,18992,2157,10630,1566,2969,822,4491,1143
0500000US06009,"Calaveras County, California",17995,1334,2741,814,2709,781,4018,868,4600,1250,1806,627,1289,564,832,476
0500000US06011,"Colusa County, California",7295,773,1527,671,1507,521,686,349,2048,479,870,392,340,232,317,265
0500000US06013,"Contra Costa County, California",392046,2369,36196,3472,43447,3034,46761,3736,77570,4769,73946,3824,42665,3419,71461,3665
0500000US06015,"Del Norte County, California",9993,1092,3172,863,2418,710,1599,684,1583,451,943,427,146,164,132,156
0500000US06017,"El Dorado County, California",69368,2127,8118,1584,8632,1593,10859,1497,14265,1832,13495,1636,6684,1169,7315,1341
0500000US06019,"Fresno County, California",305819,2635,55563,3594,63675,3937,51778,3537,66066,3704,37183,3012,16883,1972,14671,1692
0500000US06021,"Glenn County, California",10531,301,1432,529,1656,557,3140,719,2682,601,1144,455,337,242,140,96
0500000US06023,"Humboldt County, California",53446,1854,11177,1600,12363,1620,8745,1366,11403,1641,5305,1112,2137,819,2316,866
0500000US06025,"Imperial County, California",44478,1682,10033,1465,8921,1311,6697,1335,9090,1614,5989,1095,2351,917,1397,483
0500000US06029,"Kern County, California",269147,3367,47764,3544,63232,3952,44907,3543,57249,3616,32965,2949,13211,1970,9819,1292
0500000US06031,"Kings County, California",43029,1015,6676,1139,8370,1282,7067,1250,11297,1189,7228,1332,1356,475,1035,408
0500000US06033,"Lake County, California",27399,1363,7258,1421,4435,1005,4197,984,6442,1360,3495,1118,961,461,611,372
0500000US06035,"Lassen County, California",9616,996,1345,363,1246,376,1945,566,2468,704,1782,546,517,309,313,211
0500000US06037,"Los Angeles County, California",3311231,8549,497512,8441,555577,12735,485895,9680,718754,13192,506034,10735,245180,6473,302279,8050
0500000US06039,"Madera County, California",46282,1219,7221,1566,9407,1717,9259,1604,11091,1930,6321,1243,1554,634,1429,540
0500000US06041,"Marin County, California",104219,2062,7855,1553,12141,1644,9155,1760,17255,2079,18651,1931,11346,1524,27816,2224
0500000US06043,"Mariposa County, California",7956,998,1424,530,1850,657,1371,502,1582,518,1117,500,433,352,179,226
0500000US06045,"Mendocino County, California",32599,1509,5795,1399,5901,1090,6086,1130,6732,1153,4762,1109,1494,621,1829,732
0500000US06047,"Merced County, California",80969,1208,16047,1917,17669,2157,14372,1716,17966,2161,8091,1285,3298,923,3526,915
