GEO_ID,NAME,K202701_001E,K202701_001M,K202701_002E,K202701_002M,K202701_003E,K202701_003M,K202701_004E,K202701_004M,K202701_005E,K202701_005M,K202701_006E,K202701_006M,K202701_007E,K202701_007M,K202701_008E,K202701_008M,K202701_009E,K202701_009M,K202701_010E,K202701_010M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Under 19 years,Margin of Error!!Total!!Under 19 years,Estimate!!Total!!Under 19 years!!With health insurance coverage,Margin of Error!!Total!!Under 19 years!!With health insurance coverage,Estimate!!Total!!Under 19 years!!No health insurance coverage,Margin of Error!!Total!!Under 19 years!!No health insurance coverage,Estimate!!Total!!19 to 64 years,Margin of Error!!Total!!19 to 64 years,Estimate!!Total!!19 to 64 years!!With health insurance coverage,Margin of Error!!Total!!19 to 64 years!!With health insurance coverage,Estimate!!Total!!19 to 64 years!!No health insurance coverage,Margin of Error!!Total!!19 to 64 years!!No health insurance coverage,Estimate!!Total!!65 years and over,Margin of Error!!Total!!65 years and over,Estimate!!Total!!65 years and over!!With health insurance coverage,Margin of Error!!Total!!65 years and over!!With health insurance coverage,Estimate!!Total!!65 years and over!!No health insurance coverage,Margin of Error!!Total!!65 years and over!!No health insurance coverage
0500000US01061,"Geneva County, Alabama",25576,2277,6596,1319,6577,1321,19,36,13788,1299,10974,1349,2814,872,5192,759,5192,759,0,200
0500000US01069,"Houston County, Alabama",103579,623,25228,229,24870,324,358,221,60493,584,51612,1176,8881,1069,17858,195,17798,201,60,59
0500000US01071,"Jackson County, Alabama",51425,473,10959,550,10713,603,246,264,30777,692,25422,1204,5355,1312,9689,368,9689,368,0,200
0500000US01073,"Jefferson County, Alabama",652276,1824,159323,1367,152017,2299,7306,2163,394913,2411,342633,4790,52280,4712,98040,740,97663,781,377,344
0500000US01077,"Lauderdale County, Alabama",91578,434,19718,462,19134,553,584,474,54068,624,45566,1779,8502,1636,17792,492,17679,509,113,141
0500000US01079,"Lawrence County, Alabama",32621,458,8106,560,7858,564,248,227,19038,746,16292,1316,2746,1027,5477,454,5477,454,0,200
0500000US01081,"Lee County, Alabama",159847,848,39729,1218,38374,1517,1355,928,101581,1534,91238,2614,10343,2218,18537,375,18537,375,0,200
0500000US01083,"Limestone County, Alabama",91288,903,22007,674,21856,700,151,176,55191,1463,47648,2302,7543,1820,14090,935,14090,935,0,200
0500000US01087,"Macon County, Alabama",20324,1585,3214,902,3128,866,86,165,13730,1030,12461,1045,1269,610,3380,478,3380,478,0,200
0500000US01089,"Madison County, Alabama",355634,1266,84796,915,80503,1448,4293,1393,218280,1708,191209,3794,27071,3562,52558,685,52265,641,293,338
0500000US01091,"Marengo County, Alabama",20184,2528,5346,1219,5346,1219,0,200,10244,2085,9058,1866,1186,842,4594,821,4594,821,0,200
0500000US01093,"Marion County, Alabama",29446,253,6740,447,6583,486,157,180,16763,509,14505,919,2258,840,5943,321,5943,321,0,200
0500000US01095,"Marshall County, Alabama",94754,340,24867,366,24181,578,686,455,54578,568,41393,1967,13185,2002,15309,411,15309,411,0,200
0500000US01097,"Mobile County, Alabama",409996,762,103506,902,100113,1652,3393,1682,242471,1233,202201,4728,40270,4543,64019,538,63406,679,613,457
0500000US01099,"Monroe County, Alabama",24125,2421,5617,1119,5359,1170,258,397,14074,1733,11493,1797,2581,1246,4434,725,4265,805,169,285
0500000US01101,"Montgomery County, Alabama",221441,1244,56384,980,55276,1043,1108,782,132942,1448,112991,2606,19951,2555,32115,605,31963,575,152,151
0500000US01103,"Morgan County, Alabama",116784,1390,28282,733,27995,822,287,358,68283,1716,58848,2555,9435,2178,20219,853,20219,853,0,200
0500000US01107,"Pickens County, Alabama",17345,2196,3748,961,3667,971,81,143,10044,1501,8749,1457,1295,625,3553,610,3553,610,0,200
0500000US01109,"Pike County, Alabama",33090,362,7026,401,6863,393,163,205,21242,404,18600,1482,2642,1484,4822,272,4822,272,0,200
