GEO_ID,NAME,K200201_001E,K200201_001M,K200201_002E,K200201_002M,K200201_003E,K200201_003M,K200201_004E,K200201_004M,K200201_005E,K200201_005M,K200201_006E,K200201_006M,K200201_007E,K200201_007M,K200201_008E,K200201_008M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races
0500000US05005,"Baxter County, Arkansas",41355,*****,39747,338,91,75,19,28,91,135,0,201,740,513,667,374
0500000US05007,"Benton County, Arkansas",266300,*****,233638,1788,5199,448,4850,1039,10703,821,1486,201,4080,1442,6344,1280
0500000US05009,"Boone County, Arkansas",37381,*****,35861,163,0,201,599,461,538,511,0,201,12,22,371,362
0500000US05019,"Clark County, Arkansas",22293,*****,16158,1524,4059,1355,106,111,1284,1274,0,201,375,435,311,288
0500000US05031,"Craighead County, Arkansas",107115,*****,84250,1061,13657,1674,148,143,1533,80,37,66,2495,1116,4995,1746
0500000US05033,"Crawford County, Arkansas",62996,*****,55574,981,741,687,1428,1014,1246,201,0,201,2206,1038,1801,1141
0500000US05035,"Crittenden County, Arkansas",48750,*****,21112,284,21740,1681,383,503,343,160,0,201,91,131,5081,1726
0500000US05045,"Faulkner County, Arkansas",123654,*****,100013,2272,15116,846,210,424,1830,243,0,201,3458,2368,3027,1253
0500000US05051,"Garland County, Arkansas",98658,*****,83717,1360,8358,822,537,530,271,305,0,201,2774,1369,3001,1012
0500000US05057,"Hempstead County, Arkansas",26140,1897,14627,1701,7479,1712,40,73,76,116,244,410,2922,904,752,669
0500000US05063,"Independence County, Arkansas",37504,*****,33442,234,493,299,238,331,579,540,0,201,2073,245,679,514
0500000US05069,"Jefferson County, Arkansas",69115,*****,27334,514,39567,884,159,189,856,899,0,201,704,547,495,404
0500000US05071,"Johnson County, Arkansas",26552,*****,24195,699,631,256,84,151,538,595,142,235,479,405,483,410
0500000US05083,"Logan County, Arkansas",21722,*****,19880,268,265,167,92,157,42,119,0,201,349,288,1094,252
0500000US05085,"Lonoke County, Arkansas",72898,*****,64934,667,5004,621,591,230,167,187,0,201,247,225,1955,813
0500000US05091,"Miller County, Arkansas",43984,*****,30955,454,10875,667,761,476,111,187,0,201,394,356,888,662
0500000US05093,"Mississippi County, Arkansas",42159,*****,25547,331,14806,940,51,62,504,849,0,201,606,373,645,502
0500000US05113,"Polk County, Arkansas",20748,2052,17884,2076,318,297,424,400,60,112,0,201,1279,675,783,473
0500000US05115,"Pope County, Arkansas",63835,*****,58703,686,1484,889,0,201,446,309,0,201,668,676,2534,970
0500000US05119,"Pulaski County, Arkansas",393956,*****,219468,2518,144945,2359,781,670,8976,1049,208,331,8449,2886,11129,2503
0500000US05125,"Saline County, Arkansas",119323,*****,104856,1253,8837,562,148,195,1505,298,194,323,1361,1256,2422,758
0500000US05131,"Sebastian County, Arkansas",128107,*****,93998,1845,7784,1262,1115,395,5082,1072,0,201,12232,1848,7896,1689
0500000US05143,"Washington County, Arkansas",231996,*****,175198,3337,8058,1052,1689,715,6459,957,4358,1398,27208,4686,9026,2727
0500000US05145,"White County, Arkansas",79016,*****,71368,1128,3402,482,455,334,500,126,0,201,1256,1243,2035,587
0500000US05149,"Yell County, Arkansas",21523,*****,15937,1279,329,221,0,201,748,617,0,201,4439,1253,70,110
0500000US06001,"Alameda County, California",1663190,*****,661879,9261,174829,4097,10993,2019,502289,5983,13090,1046,189729,9826,110381,7895
0500000US06005,"Amador County, California",38626,*****,34484,437,1072,334,214,168,217,178,0,210,390,239,2249,536
0500000US06007,"Butte County, California",229294,*****,185941,2533,4188,527,3346,911,11961,1303,228,183,11244,2569,12386,1871
0500000US06009,"Calaveras County, California",45670,*****,41092,1008,236,370,520,614,978,250,201,336,749,690,1894,718
0500000US06013,"Contra Costa County, California",1147439,*****,655634,9784,94211,4516,5355,1536,195332,4546,5979,1137,105520,9971,85408,8250
0500000US06015,"Del Norte County, California",27470,*****,19453,1529,456,260,2276,962,1745,882,0,210,1951,1145,1589,905
0500000US06017,"El Dorado County, California",188987,*****,166729,1818,1645,402,1448,555,8316,1168,0,210,3211,1605,7638,1527
0500000US06019,"Fresno County, California",989255,*****,648874,11405,46347,2118,9657,2060,102464,2586,1622,395,138241,10679,42050,4849
0500000US06021,"Glenn County, California",28094,*****,22939,1486,318,227,804,508,859,498,0,210,3060,1472,114,121
0500000US06023,"Humboldt County, California",136754,*****,109593,2316,1821,941,5216,1754,4363,806,1707,1429,5978,2491,8076,2170
0500000US06025,"Imperial County, California",182830,*****,106980,7405,4562,988,1575,532,2093,855,952,811,60234,6901,6434,2719
0500000US06029,"Kern County, California",893119,*****,673299,8416,47820,3205,9145,2686,45271,2400,1518,257,89366,8751,26700,3689
0500000US06031,"Kings County, California",150101,*****,100972,4112,9297,1221,2476,800,5937,1061,23,35,25123,4120,6273,1457
0500000US06033,"Lake County, California",64246,*****,48772,1619,1388,870,2968,795,1062,221,49,89,8631,1757,1376,631
0500000US06035,"Lassen County, California",31163,*****,25475,426,2850,937,730,439,721,345,12,36,771,404,604,525
0500000US06037,"Los Angeles County, California",10163507,*****,5047869,38090,823121,7991,73839,7454,1500637,9173,27950,1955,2310179,38429,379912,16510
0500000US06039,"Madera County, California",156890,*****,105912,5548,5644,341,3179,949,3730,769,25,46,35242,5583,3158,1138
0500000US06041,"Marin County, California",260955,*****,199666,3777,4646,1054,1001,892,15642,1027,93,107,25778,4465,14129,2703
0500000US06043,"Mariposa County, California",21073,1831,19221,1903,44,80,754,560,83,148,126,153,426,330,419,385
0500000US06045,"Mendocino County, California",88018,*****,72964,2344,775,321,3574,1477,1796,409,289,298,3939,1793,4681,1473
0500000US06047,"Merced County, California",272673,*****,151255,7554,7786,1118,2883,1407,21738,1417,431,352,77373,7627,11207,2460
0500000US06053,"Monterey County, California",437907,*****,209568,8214,11199,1156,1627,802,24056,1833,1678,335,170737,8467,19042,3178
0500000US06055,"Napa County, California",140973,*****,104581,3621,3362,615,949,656,11380,1095,365,382,14483,3501,5853,1654
0500000US06057,"Nevada County, California",99814,*****,93198,853,489,339,528,498,504,429,150,239,792,669,4153,973
0500000US06059,"Orange County, California",3190400,*****,1899657,19408,56047,2522,16541,3246,657068,6230,8477,1720,417082,19354,135528,7416
0500000US06061,"Placer County, California",386166,*****,315315,4075,6325,1185,2183,779,29727,1736,1695,2062,13455,3408,17466,2518
0500000US06065,"Riverside County, California",2423266,*****,1371769,22425,159227,5891,19874,3100,160820,4428,6449,2178,593615,23106,111512,9337
0500000US06067,"Sacramento County, California",1530615,*****,858852,10073,148713,5131,9918,2216,237209,5344,18242,715,138743,8777,118938,7926
0500000US06069,"San Benito County, California",60310,*****,47999,3112,651,46,157,192,1759,705,67,92,7476,2967,2201,909
0500000US06071,"San Bernardino County, California",2157404,*****,1322703,22356,175209,6500,20073,3807,157083,3021,6396,1325,368369,21430,107571,10820
0500000US06073,"San Diego County, California",3337685,*****,2325134,14893,165577,4896,25433,3755,403200,6043,13884,1704,224947,13150,179510,12134
0500000US06075,"San Francisco County, California",884363,*****,402967,4706,45815,1894,3078,1385,306459,3901,3639,715,71647,6371,50758,5983
0500000US06077,"San Joaquin County, California",745424,*****,399989,10252,53882,2885,3933,1358,114582,3720,5136,1071,75859,8977,92043,7644
0500000US06079,"San Luis Obispo County, California",283405,*****,244081,2701,5364,1288,3382,1270,10291,1072,254,262,8952,2397,11081,1945
0500000US06081,"San Mateo County, California",771410,*****,376719,7593,18758,1807,3712,1133,221757,4094,11254,889,94159,7954,45051,4586
0500000US06083,"Santa Barbara County, California",448150,*****,344963,6840,7803,1184,3680,1438,24908,1838,337,320,46380,6380,20079,3047
0500000US06085,"Santa Clara County, California",1938153,*****,846837,12736,49943,2138,11586,2580,705366,4995,6105,1190,216455,12614,101861,6276
0500000US06087,"Santa Cruz County, California",275897,*****,200879,5543,2687,846,1887,1127,13516,1211,292,265,44257,5579,12379,1915
0500000US06089,"Shasta County, California",179921,*****,156292,1498,2873,168,6853,1293,5640,903,177,187,2671,936,5415,1165
0500000US06093,"Siskiyou County, California",43853,*****,37529,550,715,140,1223,572,577,331,675,762,667,428,2467,800
0500000US06095,"Solano County, California",445458,*****,233792,6257,60377,2082,1951,1052,70763,2088,4314,543,44244,6285,30017,3507
0500000US06097,"Sonoma County, California",504217,*****,366041,7535,8256,1013,5374,1634,20424,1760,2015,577,73770,8233,28337,3896
0500000US06099,"Stanislaus County, California",547899,*****,425003,7144,17428,1300,4161,1327,29258,2005,3683,867,45587,6590,22779,3522
0500000US06101,"Sutter County, California",96648,*****,64783,2482,2278,457,1496,428,16109,1055,904,759,4796,1760,6282,1984
0500000US06103,"Tehama County, California",63926,*****,54908,2552,103,129,1370,648,903,272,169,214,4327,2551,2146,699
0500000US06107,"Tulare County, California",464493,*****,352858,9076,7240,931,5390,1467,14085,2518,428,376,66511,8702,17981,3229
0500000US06109,"Tuolumne County, California",54248,*****,47534,1140,699,320,1461,605,404,276,215,197,1710,1000,2225,764
0500000US06111,"Ventura County, California",854223,*****,684452,8477,17028,2018,7610,2588,65149,4156,1150,579,42277,7132,36557,3921
0500000US06113,"Yolo County, California",219116,*****,151351,3689,5856,802,940,440,29363,1855,1165,245,15163,3374,15278,2578
0500000US06115,"Yuba County, California",77031,*****,60488,1590,3588,559,1199,724,4780,961,297,141,2333,1195,4346,1270
0500000US08001,"Adams County, Colorado",503167,*****,420960,4851,17889,1565,3940,1109,22618,1135,0,200,21561,3952,16199,3361
0500000US08005,"Arapahoe County, Colorado",643052,*****,464674,4731,69675,2116,4455,1727,37969,1721,1377,265,37922,4893,26980,3265
0500000US08013,"Boulder County, Colorado",322514,*****,286516,2228,3202,746,1445,896,14887,1069,61,91,6296,2029,10107,1975
0500000US08014,"Broomfield County, Colorado",68341,*****,58633,1141,1028,264,330,218,4591,647,0,200,537,351,3222,1245
0500000US08031,"Denver County, Colorado",704621,*****,531343,6930,64231,2605,7422,1745,27131,1391,1165,871,49098,6234,24231,3804
0500000US08035,"Douglas County, Colorado",335299,*****,296679,2287,4918,750,1140,658,16920,1301,116,141,6477,2112,9049,1670
0500000US08039,"Elbert County, Colorado",25642,*****,24176,298,0,200,240,220,238,219,0,200,172,271,816,310
0500000US08041,"El Paso County, Colorado",699232,*****,555428,6028,42690,3780,6463,1847,18137,1683,3077,997,31821,6132,41616,4708
0500000US08043,"Fremont County, Colorado",47559,*****,42391,667,1752,959,1343,605,169,348,0,200,763,630,1141,1230
0500000US08059,"Jefferson County, Colorado",574613,*****,521644,3233,5801,850,4791,1362,16249,1070,294,282,9588,2671,16246,2389
