zip,state,latitude,longitude,county
00501,NY,40.81,-73.040000000000006,suffolk
00544,NY,40.81,-73.040000000000006,suffolk
00601,PR,18.16,-66.72,adjuntas
00602,PR,18.38,-67.180000000000007,NA
00603,PR,18.43,-67.150000000000006,aguadilla
00604,PR,18.43,-67.150000000000006,NA
00605,PR,18.43,-67.150000000000006,NA
00606,PR,18.18,-66.98,maricao
00610,PR,18.28,-67.14,NA
00611,PR,18.28,-66.790000000000006,NA
00612,PR,18.45,-66.73,arecibo
00613,PR,18.45,-66.73,NA
00614,PR,18.45,-66.73,NA
00616,PR,18.399999999999999,-66.66,arecibo
00617,PR,18.45,-66.53,barceloneta
00622,PR,17.989999999999998,-67.150000000000006,NA
00623,PR,18.079999999999998,-67.14,NA
00624,PR,18.059999999999999,-66.72,NA
00627,PR,18.48,-66.84,NA
00631,PR,18.190000000000001,-66.819999999999993,NA
00636,PR,18.149999999999999,-67.06,NA
00637,PR,18.079999999999998,-66.959999999999994,NA
00638,PR,18.329999999999998,-66.47,NA
00641,PR,18.27,-66.7,NA
00646,PR,18.47,-66.27,NA
00647,PR,17.96,-66.94,NA
00650,PR,18.36,-66.56,NA
00652,PR,18.45,-66.599999999999994,arecibo
00653,PR,17.97,-66.930000000000007,NA
00656,PR,18.02,-66.790000000000006,NA
00659,PR,18.48,-66.819999999999993,NA
00660,PR,18.14,-67.12,NA
00662,PR,18.5,-67.02,NA
00664,PR,18.22,-66.59,NA
00667,PR,18.04,-67.06,NA
00669,PR,18.29,-66.88,NA
00670,PR,18.27,-67.06,NA
00674,PR,18.43,-66.48,NA
00676,PR,18.39,-67.11,NA
00677,PR,18.34,-67.25,NA
00678,PR,18.47,-66.930000000000007,NA
00680,PR,18.2,-67.14,NA
00681,PR,18.2,-67.14,NA
00682,PR,18.2,-67.14,NA
00683,PR,18.079999999999998,-67.040000000000006,NA
00685,PR,18.329999999999998,-66.989999999999995,NA
00687,PR,18.32,-66.400000000000006,NA
00688,PR,18.38,-66.62,NA
00690,PR,18.489999999999998,-67.09,NA
00692,PR,18.41,-66.319999999999993,NA
00693,PR,18.440000000000001,-66.39,NA
00694,PR,18.440000000000001,-66.39,NA
00698,PR,18.03,-66.86,NA
00703,PR,18.25,-66.099999999999994,NA
00704,PR,17.96,-66.22,NA
00705,PR,18.14,-66.260000000000005,NA
00707,PR,18,-65.900000000000006,NA
00714,PR,17.97,-66.06,NA
00715,PR,18,-66.56,NA
00716,PR,17.98,-66.599999999999994,NA
00717,PR,17.98,-66.599999999999994,NA
00718,PR,18.21,-65.73,NA
00719,PR,18.3,-66.239999999999995,NA
00720,PR,18.22,-66.39,NA
00721,PR,18.37,-65.77,NA
00723,PR,18,-66.010000000000005,patillas
00725,PR,18.23,-66.03,NA
00726,PR,18.23,-66.03,NA
00727,PR,18.23,-66.03,NA
00728,PR,17.98,-66.599999999999994,NA
00729,PR,18.37,-65.900000000000006,canãƒâ³vanas
00730,PR,17.98,-66.599999999999994,NA
00731,PR,17.98,-66.599999999999994,NA
00732,PR,17.98,-66.599999999999994,NA
00733,PR,17.98,-66.599999999999994,NA
00734,PR,17.98,-66.599999999999994,NA
00735,PR,18.260000000000002,-65.64,NA
00736,PR,18.11,-66.16,NA
00737,PR,18.11,-66.16,NA
00738,PR,18.329999999999998,-65.650000000000006,NA
00739,PR,18.170000000000002,-66.150000000000006,NA
00740,PR,18.329999999999998,-65.63,NA
00741,PR,18.149999999999999,-65.760000000000005,NA
00742,PR,18.27,-65.650000000000006,NA
00744,PR,18.22,-65.790000000000006,NA
00745,PR,18.38,-65.83,NA
00751,PR,17.97,-66.290000000000006,NA
00754,PR,18.190000000000001,-65.959999999999994,NA
00757,PR,17.97,-66.400000000000006,santa isabel
00765,PR,18.420000000000002,-65.83,NA
00766,PR,18.13,-66.48,NA
00767,PR,18.04,-65.87,NA
00769,PR,18.079999999999998,-66.36,NA
00771,PR,18.18,-65.86,NA
00772,PR,18.43,-65.88,NA
00773,PR,18.37,-65.709999999999994,NA
00775,PR,18.309999999999999,-65.3,NA
00777,PR,18.22,-65.91,NA
00778,PR,18.25,-65.97,NA
00780,PR,18.09,-66.569999999999993,NA
00782,PR,18.22,-66.22,NA
00783,PR,18.34,-66.31,NA
00784,PR,17.97,-66.11,NA
00785,PR,17.97,-66.11,NA
00786,PR,18.16,-66.23,aibonito
00791,PR,18.149999999999999,-65.81,NA
00792,PR,18.149999999999999,-65.81,NA
00794,PR,18.18,-66.3,NA
00795,PR,18.05,-66.5,NA
00801,VI,18.350000000000001,-64.930000000000007,NA
00802,VI,18.350000000000001,-64.930000000000007,NA
00803,VI,18.350000000000001,-64.930000000000007,NA
00804,VI,18.350000000000001,-64.930000000000007,NA
00805,VI,18.34,-64.930000000000007,NA
00820,VI,17.739999999999998,-64.7,NA
00821,VI,17.739999999999998,-64.7,NA
00822,VI,17.739999999999998,-64.7,NA
00823,VI,17.739999999999998,-64.7,NA
00824,VI,17.739999999999998,-64.7,NA
00830,VI,18.329999999999998,-64.790000000000006,NA
00831,VI,18.329999999999998,-64.790000000000006,NA
00840,VI,17.71,-64.88,NA
00841,VI,17.71,-64.88,NA
00850,VI,17.760000000000002,-64.819999999999993,NA
00851,VI,17.73,-64.8,NA
00901,PR,18.399999999999999,-66.06,NA
00902,PR,18.399999999999999,-66.06,NA
00906,PR,18.399999999999999,-66.06,NA
00907,PR,18.399999999999999,-66.06,NA
00908,PR,18.399999999999999,-66.06,NA
00909,PR,18.440000000000001,-66.06,NA
00910,PR,18.399999999999999,-66.06,NA
00911,PR,18.399999999999999,-66.06,NA
00912,PR,18.399999999999999,-66.06,NA
00913,PR,18.399999999999999,-66.06,NA
00914,PR,18.399999999999999,-66.06,NA
00915,PR,18.399999999999999,-66.06,NA
00916,PR,18.399999999999999,-66.06,NA
00917,PR,18.399999999999999,-66.06,NA
00918,PR,18.399999999999999,-66.06,NA
00919,PR,18.399999999999999,-66.06,NA
00920,PR,18.399999999999999,-66.06,NA
00921,PR,18.399999999999999,-66.06,NA
00922,PR,18.399999999999999,-66.06,NA
00923,PR,18.399999999999999,-66.06,NA
00924,PR,18.399999999999999,-66.06,NA
00925,PR,18.399999999999999,-66.06,NA
00926,PR,18.399999999999999,-66.06,NA
00927,PR,18.399999999999999,-66.06,NA
00928,PR,18.399999999999999,-66.06,NA
00929,PR,18.399999999999999,-66.06,san juan
00930,PR,18.399999999999999,-66.06,NA
00931,PR,18.399999999999999,-66.06,san juan
00933,PR,18.399999999999999,-66.06,san juan
00934,PR,18.41,-66.11,NA
00935,PR,18.399999999999999,-66.06,san juan
00936,PR,18.399999999999999,-66.06,NA
00937,PR,18.399999999999999,-66.06,san juan
00939,PR,18.399999999999999,-66.06,san juan
00940,PR,18.399999999999999,-66.06,NA
00949,PR,18.440000000000001,-66.25,NA
00950,PR,18.440000000000001,-66.25,NA
00951,PR,18.440000000000001,-66.25,NA
00952,PR,18.420000000000002,-66.19,toa baja
00953,PR,18.39,-66.25,toa alta
00954,PR,18.39,-66.25,toa alta
00955,PR,18.399999999999999,-66.06,san juan
00956,PR,18.28,-66.13,bayamãƒâ³n
00957,PR,18.28,-66.13,bayamãƒâ³n
00958,PR,18.28,-66.13,bayamãƒâ³n
00959,PR,18.28,-66.13,bayamãƒâ³n
00960,PR,18.28,-66.13,NA
00961,PR,18.41,-66.150000000000006,bayamãƒâ³n
00962,PR,18.43,-66.11,cataãƒâ±o
00963,PR,18.43,-66.11,cataãƒâ±o
00965,PR,18.38,-66.11,guaynabo
00966,PR,18.38,-66.11,guaynabo
00968,PR,18.38,-66.11,guaynabo
00969,PR,18.38,-66.11,guaynabo
00970,PR,18.38,-66.11,NA
00971,PR,18.38,-66.11,guaynabo
00975,PR,18.399999999999999,-66.06,san juan
00976,PR,18.36,-66.010000000000005,trujillo alto
00977,PR,18.36,-66.010000000000005,NA
00978,PR,18.37,-66.010000000000005,san juan
00979,PR,18.399999999999999,-65.98,carolina
00981,PR,18.399999999999999,-65.98,carolina
00982,PR,18.399999999999999,-65.98,carolina
00983,PR,18.399999999999999,-65.98,carolina
00984,PR,18.399999999999999,-65.98,carolina
00985,PR,18.399999999999999,-65.98,carolina
00986,PR,18.399999999999999,-65.98,carolina
00987,PR,18.399999999999999,-65.98,carolina
00988,PR,18.399999999999999,-65.98,carolina
01001,MA,42.06,-72.61,hampden
01002,MA,42.37,-72.52,hampshire
01003,MA,42.37,-72.52,hampshire
01004,MA,42.37,-72.52,hampshire
01005,MA,42.42,-72.099999999999994,worcester
01007,MA,42.27,-72.400000000000006,hampshire
01008,MA,42.18,-72.930000000000007,hampden
01009,MA,42.2,-72.34,hampden
01010,MA,42.11,-72.2,hampden
01011,MA,42.28,-72.98,hampden
01012,MA,42.4,-72.849999999999994,hampshire
01013,MA,42.17,-72.569999999999993,hampden
01014,MA,42.17,-72.569999999999993,hampden
01020,MA,42.17,-72.569999999999993,hampden
01021,MA,42.17,-72.569999999999993,hampden
01022,MA,42.17,-72.569999999999993,hampden
01026,MA,42.46,-72.900000000000006,hampshire
01027,MA,42.26,-72.680000000000007,hampshire
01028,MA,42.06,-72.510000000000005,hampden
01029,MA,42.17,-73.03,berkshire
01030,MA,42.06,-72.67,hampden
01031,MA,42.35,-72.209999999999994,worcester
01032,MA,42.43,-72.8,hampshire
01033,MA,42.26,-72.52,hampshire
01034,MA,42.06,-72.86,hampden
01035,MA,42.35,-72.58,hampshire
01036,MA,42.06,-72.41,hampden
09399,AE,0,0,NA
01037,MA,42.35,-72.2,worcester
01038,MA,42.37,-72.599999999999994,hampshire
01039,MA,42.39,-72.7,hampshire
01040,MA,42.21,-72.64,hampden
01041,MA,42.21,-72.64,hampden
01050,MA,42.23,-72.88,hampshire
01053,MA,42.35,-72.709999999999994,hampshire
01054,MA,42.45,-72.5,franklin
01056,MA,42.16,-72.48,hampden
01057,MA,42.09,-72.31,hampden
01059,MA,42.4,-72.52,hampshire
01060,MA,42.32,-72.67,hampshire
01061,MA,42.32,-72.67,hampshire
01062,MA,42.32,-72.67,hampshire
01063,MA,42.32,-72.67,hampshire
01066,MA,42.4,-72.599999999999994,franklin
01068,MA,42.35,-72.05,worcester
01069,MA,42.16,-72.319999999999993,hampden
01070,MA,42.51,-72.91,hampshire
01071,MA,42.18,-72.849999999999994,hampden
01072,MA,42.45,-72.400000000000006,franklin
01073,MA,42.23,-72.73,hampshire
01074,MA,42.38,-72.09,worcester
01075,MA,42.26,-72.56,hampshire
01077,MA,42.05,-72.760000000000005,hampden
01079,MA,42.18,-72.33,hampden
01080,MA,42.18,-72.37,hampden
01081,MA,42.06,-72.209999999999994,hampden
01082,MA,42.25,-72.239999999999995,hampshire
01083,MA,42.21,-72.19,worcester
