geo_id,county_state.x,total,white,black,am_ind_al_nat,asian,nat_ha_pac_isl,other,two_or_more,hispanic,year,state,county,county_state.y,fi_rate,number_food_insecure_individuals,low_threshold_in_state,low_threshold_type,high_threshold_in_state,high_threshold_type,percent_fi_low_threshold,percent_fi_btwn_thresholds,percent_fi_high_threshold,weighted_annual_food_budget_shortfall,cost_per_meal,child_fi_rate,number_food_insecure_children,percent_of_children_in_fi_hh_with_hh_incomes_below_185_percent_fpl,percent_of_children_in_fi_hh_with_hh_incomes_above_185_percent_fpl,zip,latitude,longitude,estimate_total_edu_data,estimate_total_less_than_9th_grade,estimate_total_9th_to_12th_grade_no_diploma,estimate_total_high_school_graduate_includes_equivalency,estimate_total_some_college_no_degree,estimate_total_associates_degree,estimate_total_bachelors_degree,estimate_total_graduate_or_professional_degree,estimate_total_hispanic_data,estimate_total_not_hispanic_or_latino,estimate_total_hispanic_or_latino,estimate_total_immigration_data,estimate_total_u_s_citizen,estimate_total_not_a_u_s_citizen,estimate_total_income_data,estimate_total_less_than_20_000,estimate_total_20_000_to_39_999,estimate_total_40_000_to_59_999,estimate_total_60_000_to_99_999,estimate_total_100_000_to_149_999,estimate_total_150_000_to_199_999,estimate_total_200_000_or_more,estimate_total_ins_status_data,estimate_total_under_19_years,estimate_total_under_19_years_with_health_insurance_coverage,estimate_total_under_19_years_no_health_insurance_coverage,estimate_total_19_to_64_years,estimate_total_19_to_64_years_with_health_insurance_coverage,estimate_total_19_to_64_years_no_health_insurance_coverage,estimate_total_65_years_and_over,estimate_total_65_years_and_over_with_health_insurance_coverage,estimate_total_65_years_and_over_no_health_insurance_coverage,estimate_total_race_data,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races
0500000US05005,"Baxter County, Arkansas",41355,0.232406518275745,5.32090300226251e-4,1.1109577697031612e-4,5.32090300226251e-4,0,0.004326888155685997,0.003900046486273729,2.3576351106274935,2017,AR,baxter,baxter_AR,0.139,5720,1.3,SNAP,1.85,Other Nutrition Program,0.459,0.231,0.31,3022000,3.1,0.223,1610,0.78,0.22,72531,36.31,-92.09,31510,1140,2355,12456,6610,2531,4068,2350,41355,40380,975,41355,41135,220,17979,3399,4726,4377,2493,1631,973,380,41024,7438,7351,87,20796,18815,1981,12790,12790,0,41355,39747,91,19,91,0,740,667
0500000US05007,"Benton County, Arkansas",266300,0.032945882638947745,7.331240801577197e-4,6.839107114377651e-4,0.0015092569782512162,2.0954460148381833e-4,5.75331072714656e-4,8.945834130641611e-4,16.687194892977843,2017,AR,benton,benton_AR,0.111,27900,1.3,SNAP,1.85,Other Nutrition Program,0.443,0.18,0.377,14113000,2.96,0.189,12830,0.62,0.38,72711,36.39,-94.07,174196,8502,10316,50892,35033,10304,40418,18731,266300,221862,44438,266300,242859,23441,97134,10363,16178,18111,24952,12715,8595,6220,264760,72785,69056,3729,157992,137318,20674,33983,33963,20,266300,233638,5199,4850,10703,1486,4080,6344
0500000US05009,"Boone County, Arkansas",37381,0.256637765553899,0,0.0042867187631908076,0.0038501747822982536,0,8.587750443787928e-5,0.002655046178871101,2.4691688290842944,2017,AR,boone,boone_AR,0.146,5420,1.3,SNAP,1.85,Other Nutrition Program,0.553,0.221,0.226,2391000,2.59,0.234,1980,0.84,0.16,72601,36.24,-93.11,25649,1421,2465,7560,7271,1718,3515,1699,37381,36458,923,37381,37268,113,15040,3350,3586,3554,2913,1295,172,170,36913,9588,9228,360,20156,18237,1919,7169,7169,0,37381,35861,0,599,538,0,12,371
0500000US05019,"Clark County, Arkansas",22293,0.3251251546223341,0.08167366026810584,0.0021328918424289773,0.025836161563007613,0,0.0075456079331213816,0.006257824179202,4.207598797828915,2017,AR,clark,clark_AR,0.195,4390,1.3,SNAP,1.85,Other Nutrition Program,0.517,0.134,0.35,2297000,3.07,0.241,1040,0.71,0.29,71721,33.85,-93.19,13280,339,911,4459,3232,412,2478,1449,22293,21355,938,22293,21692,601,8534,1703,2616,1650,1646,645,85,189,21861,5894,5625,269,12586,11270,1316,3381,3381,0,22293,16158,4059,106,1284,0,375,311
0500000US05031,"Craighead County, Arkansas",107115,0.07342928937776759,0.011902953175456048,1.2899151131049973e-4,0.0013361080191824062,3.224787782762493e-5,0.0021745528427006542,0.004353463506729366,5.176679269943519,2017,AR,craighead,craighead_AR,0.172,17980,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.129,0.332,8411000,2.74,0.226,5850,0.66,0.34,72401,35.82,-90.68,69331,2834,4653,23907,12279,6585,11697,7376,107115,101570,5545,107115,103038,4077,42115,6977,10335,7864,7883,6075,1511,1470,105951,27323,26047,1276,63979,59287,4692,14649,14649,0,107115,84250,13657,148,1533,37,2495,4995
0500000US05033,"Crawford County, Arkansas",62996,0.14003793824143781,0.0018672061078364955,0.003598340515506769,0.0031397284890206122,0,0.005558780936420121,0.004538243185173454,7.875103181154359,2017,AR,crawford,crawford_AR,0.138,8600,1.3,SNAP,1.85,Other Nutrition Program,0.561,0.184,0.255,4350000,2.96,0.228,3540,0.79,0.21,72921,35.48,-94.22,42357,1549,4534,14231,9856,4970,5546,1671,62996,58035,4961,62996,61484,1512,24778,4620,7305,3493,6097,2227,852,184,62001,16213,15954,259,35824,31864,3960,9964,9964,0,62996,55574,741,1428,1246,0,2206,1801
0500000US05035,"Crittenden County, Arkansas",48750,0.08883418803418804,0.09147666009204469,0.001611571334648258,0.0014432610124917816,0,3.8290598290598296e-4,0.021379618671926365,2.568205128205128,2017,AR,crittenden,crittenden_AR,0.238,11750,1.3,SNAP,1.85,Other Nutrition Program,0.621,0.175,0.203,5916000,2.95,0.261,3560,0.67,0.33,72301,35.14,-90.18,31545,2004,3839,10909,7048,2075,3799,1871,48750,47498,1252,48750,48014,736,18607,4932,4480,2962,2928,2411,519,375,48230,13823,13592,231,28068,24045,4023,6339,6318,21,48750,21112,21740,383,343,0,91,5081
0500000US05045,"Faulkner County, Arkansas",123654,0.06540939246866037,0.009885998585746557,1.3734186974112046e-4,0.0011968362934583355,0,0.002261562788403783,0.0019796849509827216,4.056480178562763,2017,AR,faulkner,faulkner_AR,0.162,19680,1.3,SNAP,1.85,Other Nutrition Program,0.514,0.126,0.361,10149000,3.02,0.204,5820,0.65,0.35,72032,35.08,-92.45,75973,1293,4551,23724,15942,5541,15159,9763,123654,118638,5016,123654,119561,4093,44870,7400,11440,6727,10460,5376,1953,1514,122960,31261,29897,1364,76643,66919,9724,15056,14905,151,123654,100013,15116,210,1830,0,3458,3027
0500000US05051,"Garland County, Arkansas",98658,0.08601001881011176,0.008586926636345235,5.517084952999991e-4,2.7842272295400326e-4,0,0.002849980197322528,0.003083197754926066,5.700500719657808,2017,AR,garland,garland_AR,0.166,16280,1.3,SNAP,1.85,Other Nutrition Program,0.568,0.105,0.327,8277000,2.98,0.248,4970,0.68,0.32,71901,34.5,-93.05,71435,2665,5623,21913,22015,5287,9090,4842,98658,93034,5624,98658,97053,1605,38594,7921,8568,7435,8352,3576,1709,1033,97388,21097,18575,2522,53336,46016,7320,22955,22790,165,98658,83717,8358,537,271,0,2774,3001
0500000US05057,"Hempstead County, Arkansas",26140,0.2140642259998396,0.10945418378702401,5.853947521702046e-4,0.001112250029123389,0.003570907988238249,0.042763086646033455,0.011005421340799848,12.478959449120122,2017,AR,hempstead,hempstead_AR,0.191,4230,1.3,SNAP,1.85,Other Nutrition Program,0.668,0.152,0.18,1938000,2.68,0.252,1450,0.81,0.19,71801,33.66,-93.59,16377,920,1528,6771,3083,1325,1851,899,26140,22878,3262,26140,25274,866,9872,2176,1963,1509,3153,900,110,61,25886,6459,5756,703,15249,13821,1428,4178,4178,0,26140,14627,7479,40,76,244,2922,752
