geo_id,total,less_9th,nineth_to_12th,hs_grad,some_coll,assoc_deg,bach_deg,grad_or_prof,year,state,county,county_state,fi_rate,number_food_insecure_individuals,low_threshold_in_state,low_threshold_type,high_threshold_in_state,high_threshold_type,percent_fi_low_threshold,percent_fi_btwn_thresholds,percent_fi_high_threshold,weighted_annual_food_budget_shortfall,cost_per_meal,child_fi_rate,number_food_insecure_children,percent_of_children_in_fi_hh_with_hh_incomes_below_185_percent_fpl,percent_of_children_in_fi_hh_with_hh_incomes_above_185_percent_fpl,zip,latitude,longitude,estimate_total_edu_data,estimate_total_less_than_9th_grade,estimate_total_9th_to_12th_grade_no_diploma,estimate_total_high_school_graduate_includes_equivalency,estimate_total_some_college_no_degree,estimate_total_associates_degree,estimate_total_bachelors_degree,estimate_total_graduate_or_professional_degree,estimate_total_hispanic_data,estimate_total_not_hispanic_or_latino,estimate_total_hispanic_or_latino,estimate_total_immigration_data,estimate_total_u_s_citizen,estimate_total_not_a_u_s_citizen,estimate_total_income_data,estimate_total_less_than_20_000,estimate_total_20_000_to_39_999,estimate_total_40_000_to_59_999,estimate_total_60_000_to_99_999,estimate_total_100_000_to_149_999,estimate_total_150_000_to_199_999,estimate_total_200_000_or_more,estimate_total_ins_status_data,estimate_total_under_19_years,estimate_total_under_19_years_with_health_insurance_coverage,estimate_total_under_19_years_no_health_insurance_coverage,estimate_total_19_to_64_years,estimate_total_19_to_64_years_with_health_insurance_coverage,estimate_total_19_to_64_years_no_health_insurance_coverage,estimate_total_65_years_and_over,estimate_total_65_years_and_over_with_health_insurance_coverage,estimate_total_65_years_and_over_no_health_insurance_coverage,estimate_total_race_data,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races
0500000US01051,55782,3.631995984367717,9.748664443727368,31.363163744577104,20.146283747445413,10.254203865046073,15.978272561041196,8.877415653795131,2017,AL,elmore,elmore_AL,0.133,10740,1.3,SNAP,1.85,Other Nutrition Program,0.426,0.132,0.442,5948000,3.25,0.195,3570,0.65,0.35,36020,32.49,-86.33,55782,2026,5438,17495,11238,5720,8913,4952,81677,79231,2446,81677,80995,682,29176,4828,4365,5241,7215,5228,1003,1296,76213,19708,19301,407,44700,40872,3828,11805,11805,0,81677,60736,18092,304,400,0,1407,738
0500000US01053,26608,4.536229705351774,14.424233313289236,44.18971737823211,17.821707757065543,8.813138905592304,5.528412507516537,4.686560432952495,2017,AL,escambia,escambia_AL,0.184,6930,1.3,SNAP,1.85,Other Nutrition Program,0.598,0.195,0.207,3532000,2.99,0.241,2020,0.86,0.14,36426,31.11,-87.07,26608,1207,3838,11758,4742,2345,1471,1247,37447,37232,215,37447,37147,300,12415,3320,3375,2352,1995,911,248,214,33543,8494,8228,266,18715,14554,4161,6334,6334,0,null,null,null,null,null,null,null,null
0500000US01055,71846,3.955682988614537,12.11340923642235,33.150070985162714,22.81685828021045,8.64209559335245,11.652701611780754,7.669181304456754,2017,AL,etowah,etowah_AL,0.146,15010,1.3,SNAP,1.85,Other Nutrition Program,0.56,0.173,0.267,7409000,2.89,0.228,5140,0.77,0.23,35901,34.01,-86.01,71846,2842,8703,23817,16393,6209,8372,5510,102755,98801,3954,102755,101248,1507,37091,10178,7456,6055,7983,3553,1133,733,101960,23954,23221,733,59364,48402,10962,18642,18642,0,102755,82298,16066,1018,727,0,1199,1447
0500000US01059,19847,13.462991887942763,11.24603214591626,35.798861288859776,19.82667405653247,4.116491157353757,9.230614198619438,6.318335264775533,2017,AL,franklin,franklin_AL,0.129,4060,1.3,SNAP,1.85,Other Nutrition Program,0.653,0.127,0.219,1898000,2.74,0.256,1990,0.8,0.2,35571,34.32,-87.92,19847,2672,2232,7105,3935,817,1832,1254,31495,26148,5347,31495,29264,2231,11318,1918,2946,2394,3142,304,408,206,31318,8602,8108,494,17860,14835,3025,4856,4856,0,null,null,null,null,null,null,null,null
0500000US01061,18029,6.82788840201897,10.266792390038272,37.76693105552166,19.030450940151976,12.241388873481613,7.81518664374064,6.051361695046869,2017,AL,geneva,geneva_AL,0.148,3930,1.3,SNAP,1.85,Other Nutrition Program,0.618,0.118,0.264,1916000,2.86,0.252,1490,0.75,0.25,36313,31.17,-85.79,18029,1231,1851,6809,3431,2207,1409,1091,25816,24634,1182,25816,25657,159,9957,2469,2346,1470,2260,1202,98,112,25576,6596,6577,19,13788,10974,2814,5192,5192,0,25816,22765,1572,515,8,0,544,412
0500000US01069,72149,3.4872278202054083,9.458204548919596,32.48139267349513,22.248402611262804,10.292588947871765,13.663391037990824,8.368792360254474,2017,AL,houston,houston_AL,0.165,17160,1.3,SNAP,1.85,Other Nutrition Program,0.548,0.176,0.276,9296000,3.17,0.227,5560,0.73,0.27,36301,31.23,-85.4,72149,2516,6824,23435,16052,7426,9858,6038,104346,100839,3507,104346,103396,950,39106,7997,9261,6669,8200,4345,1229,1405,103579,25228,24870,358,60493,51612,8881,17858,17798,60,104346,72703,27957,125,851,0,176,2534
0500000US01071,36782,5.478223043880159,11.462128214887716,39.10064705562503,19.406231308792343,10.333858952748628,9.518242618672176,4.700668805393943,2017,AL,jackson,jackson_AL,0.136,7130,1.3,SNAP,1.85,Other Nutrition Program,0.648,0.123,0.229,3846000,3.16,0.233,2630,0.9,0.1,35740,34.94,-85.71,36782,2015,4216,14382,7138,3801,3501,1729,51909,50352,1557,51909,50896,1013,20600,4729,5066,4115,4018,1972,374,326,51425,10959,10713,246,30777,25422,5355,9689,9689,0,51909,47710,2130,912,157,70,160,770
0500000US01073,448110,2.812925397781795,7.266965700386066,26.31184307424516,21.376670906697015,8.900046863493339,20.646269889089734,12.685278168306887,2017,AL,jefferson,jefferson_AL,0.178,117600,1.3,SNAP,1.85,Other Nutrition Program,0.51,0.148,0.342,62512000,3.11,0.208,31610,0.67,0.33,35005,33.59,-86.95,448110,12605,32564,117906,95791,39882,92518,56844,659197,633607,25590,659197,641366,17831,259324,52295,53422,42205,52713,32286,12090,14313,652276,159323,152017,7306,394913,342633,52280,98040,97663,377,659197,340995,283700,1203,12201,321,11510,9267
0500000US01077,63925,2.4262807978099334,9.19827923347673,37.42197888150176,20.974579585451703,5.974188502150958,15.016034415330465,8.98865858427845,2017,AL,lauderdale,lauderdale_AL,0.14,12950,1.3,SNAP,1.85,Other Nutrition Program,0.499,0.2,0.301,6293000,2.85,0.214,4010,0.81,0.19,35610,34.91,-87.27,63925,1551,5880,23922,13408,3819,9599,5746,92538,90061,2477,92538,91592,946,38215,7258,10160,5739,9989,3150,876,1043,91578,19718,19134,584,54068,45566,8502,17792,17679,113,null,null,null,null,null,null,null,null
0500000US01079,22026,4.553709252701353,15.368201216743849,42.99464269499682,18.046853718332876,5.93843639335331,8.875873967129756,4.2222827567420325,2017,AL,lawrence,lawrence_AL,0.134,4470,1.3,SNAP,1.85,Other Nutrition Program,0.523,0.185,0.293,2332000,3.06,0.206,1490,0.84,0.16,35618,34.66,-87.31,22026,1003,3385,9470,3975,1308,1955,930,33049,32362,687,33049,32831,218,11331,2900,2566,1796,2454,1219,171,225,32621,8106,7858,248,19038,16292,2746,5477,5477,0,33049,25621,3670,2182,0,0,5,1571
