geo_id,total,tot_under_19,y_under_19,n_under_19,tot_19_64,y_19_64,n_19_64,tot_65_over,y_65_over,n_65_over,year,state,county,county_state,fi_rate,number_food_insecure_individuals,low_threshold_in_state,low_threshold_type,high_threshold_in_state,high_threshold_type,percent_fi_low_threshold,percent_fi_btwn_thresholds,percent_fi_high_threshold,weighted_annual_food_budget_shortfall,cost_per_meal,child_fi_rate,number_food_insecure_children,percent_of_children_in_fi_hh_with_hh_incomes_below_185_percent_fpl,percent_of_children_in_fi_hh_with_hh_incomes_above_185_percent_fpl,zip,latitude,longitude,estimate_total_edu_data,estimate_total_less_than_9th_grade,estimate_total_9th_to_12th_grade_no_diploma,estimate_total_high_school_graduate_includes_equivalency,estimate_total_some_college_no_degree,estimate_total_associates_degree,estimate_total_bachelors_degree,estimate_total_graduate_or_professional_degree,estimate_total_hispanic_data,estimate_total_not_hispanic_or_latino,estimate_total_hispanic_or_latino,estimate_total_immigration_data,estimate_total_u_s_citizen,estimate_total_not_a_u_s_citizen,estimate_total_income_data,estimate_total_less_than_20_000,estimate_total_20_000_to_39_999,estimate_total_40_000_to_59_999,estimate_total_60_000_to_99_999,estimate_total_100_000_to_149_999,estimate_total_150_000_to_199_999,estimate_total_200_000_or_more,estimate_total_ins_status_data,estimate_total_under_19_years,estimate_total_under_19_years_with_health_insurance_coverage,estimate_total_under_19_years_no_health_insurance_coverage,estimate_total_19_to_64_years,estimate_total_19_to_64_years_with_health_insurance_coverage,estimate_total_19_to_64_years_no_health_insurance_coverage,estimate_total_65_years_and_over,estimate_total_65_years_and_over_with_health_insurance_coverage,estimate_total_65_years_and_over_no_health_insurance_coverage,estimate_total_race_data,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races
0500000US01061,25576,6596,99.71194663432384,0.2880533656761674,13788,79.59094865100087,20.409051348999128,5192,100,0,2017,AL,geneva,geneva_AL,0.148,3930,1.3,SNAP,1.85,Other Nutrition Program,0.618,0.118,0.264,1916000,2.86,0.252,1490,0.75,0.25,36313,31.17,-85.79,18029,1231,1851,6809,3431,2207,1409,1091,25816,24634,1182,25816,25657,159,9957,2469,2346,1470,2260,1202,98,112,25576,6596,6577,19,13788,10974,2814,5192,5192,0,25816,22765,1572,515,8,0,544,412
0500000US01069,103579,25228,98.58094181068654,1.4190581893134613,60493,85.31896252458962,14.681037475410378,17858,99.66401612722589,0.33598387277410685,2017,AL,houston,houston_AL,0.165,17160,1.3,SNAP,1.85,Other Nutrition Program,0.548,0.176,0.276,9296000,3.17,0.227,5560,0.73,0.27,36301,31.23,-85.4,72149,2516,6824,23435,16052,7426,9858,6038,104346,100839,3507,104346,103396,950,39106,7997,9261,6669,8200,4345,1229,1405,103579,25228,24870,358,60493,51612,8881,17858,17798,60,104346,72703,27957,125,851,0,176,2534
0500000US01071,51425,10959,97.75526964139064,2.2447303586093623,30777,82.60064333755727,17.399356662442734,9689,100,0,2017,AL,jackson,jackson_AL,0.136,7130,1.3,SNAP,1.85,Other Nutrition Program,0.648,0.123,0.229,3846000,3.16,0.233,2630,0.9,0.1,35740,34.94,-85.71,36782,2015,4216,14382,7138,3801,3501,1729,51909,50352,1557,51909,50896,1013,20600,4729,5066,4115,4018,1972,374,326,51425,10959,10713,246,30777,25422,5355,9689,9689,0,51909,47710,2130,912,157,70,160,770
0500000US01073,652276,159323,95.4143469555557,4.585653044444305,394913,86.76164117159982,13.238358828400179,98040,99.61546307629538,0.38453692370461034,2017,AL,jefferson,jefferson_AL,0.178,117600,1.3,SNAP,1.85,Other Nutrition Program,0.51,0.148,0.342,62512000,3.11,0.208,31610,0.67,0.33,35005,33.59,-86.95,448110,12605,32564,117906,95791,39882,92518,56844,659197,633607,25590,659197,641366,17831,259324,52295,53422,42205,52713,32286,12090,14313,652276,159323,152017,7306,394913,342633,52280,98040,97663,377,659197,340995,283700,1203,12201,321,11510,9267
0500000US01077,91578,19718,97.03823917232985,2.9617608276701493,54068,84.27535695790486,15.72464304209514,17792,99.36488309352518,0.6351169064748202,2017,AL,lauderdale,lauderdale_AL,0.14,12950,1.3,SNAP,1.85,Other Nutrition Program,0.499,0.2,0.301,6293000,2.85,0.214,4010,0.81,0.19,35610,34.91,-87.27,63925,1551,5880,23922,13408,3819,9599,5746,92538,90061,2477,92538,91592,946,38215,7258,10160,5739,9989,3150,876,1043,91578,19718,19134,584,54068,45566,8502,17792,17679,113,null,null,null,null,null,null,null,null
0500000US01079,32621,8106,96.94053787318036,3.05946212681964,19038,85.57621598907448,14.423784010925516,5477,100,0,2017,AL,lawrence,lawrence_AL,0.134,4470,1.3,SNAP,1.85,Other Nutrition Program,0.523,0.185,0.293,2332000,3.06,0.206,1490,0.84,0.16,35618,34.66,-87.31,22026,1003,3385,9470,3975,1308,1955,930,33049,32362,687,33049,32831,218,11331,2900,2566,1796,2454,1219,171,225,32621,8106,7858,248,19038,16292,2746,5477,5477,0,33049,25621,3670,2182,0,0,5,1571
0500000US01081,159847,39729,96.58939313851343,3.410606861486572,101581,89.81797777143363,10.182022228566366,18537,100,0,2017,AL,lee,lee_AL,0.17,26560,1.3,SNAP,1.85,Other Nutrition Program,0.576,0.095,0.329,15672000,3.46,0.207,7010,0.7,0.31,36801,32.65,-85.37,96835,2591,5457,24545,22683,9210,17387,14962,161604,155511,6093,161604,156613,4991,58555,11146,12195,8509,13624,8086,3029,1966,159847,39729,38374,1355,101581,91238,10343,18537,18537,0,161604,113361,35563,212,6452,0,502,5514
0500000US01083,91288,22007,99.31385468260099,0.6861453173990094,55191,86.33291659872081,13.667083401279195,14090,100,0,2017,AL,limestone,limestone_AL,0.122,11190,1.3,SNAP,1.85,Other Nutrition Program,0.484,0.139,0.377,5813000,3.04,0.196,4170,0.68,0.32,35611,34.78,-86.95,65019,3014,5031,17657,14378,5926,13103,5910,94402,88665,5737,94402,93307,1095,32816,5715,6343,5133,7336,5096,1707,1486,91288,22007,21856,151,55191,47648,7543,14090,14090,0,94402,76611,12971,901,1677,149,1167,926
0500000US01087,20324,3214,97.32420659614188,2.675793403858121,13730,90.75746540422432,9.242534595775673,3380,100,0,2017,AL,macon,macon_AL,0.256,4950,1.3,SNAP,1.85,Other Nutrition Program,0.575,0.197,0.227,2671000,3.16,0.254,890,0.73,0.27,36031,32.29,-85.73,13595,631,1539,4012,4309,636,1648,820,20652,20576,76,20652,20625,27,7901,2760,1862,1250,1112,480,228,209,20324,3214,3128,86,13730,12461,1269,3380,3380,0,null,null,null,null,null,null,null,null
0500000US01089,355634,84796,94.93726119156564,5.062738808434361,218280,87.59803921568627,12.401960784313726,52558,99.44252064386012,0.5574793561398835,2017,AL,madison,madison_AL,0.138,48830,1.3,SNAP,1.85,Other Nutrition Program,0.445,0.123,0.432,25710000,3.09,0.191,15080,0.6,0.4,35741,34.7,-86.46,247593,6746,15086,50957,52584,19892,61973,40355,361046,343318,17728,361046,351445,9601,147892,24624,26103,20616,30473,27027,9932,9117,355634,84796,80503,4293,218280,191209,27071,52558,52265,293,361046,244908,87843,2357,10285,0,4498,11155
