year,state,county,county_state,fi_rate,number_food_insecure_individuals,low_threshold_in_state,low_threshold_type,high_threshold_in_state,high_threshold_type,percent_fi_low_threshold,percent_fi_btwn_thresholds,percent_fi_high_threshold,weighted_annual_food_budget_shortfall,cost_per_meal,child_fi_rate,number_food_insecure_children,percent_of_children_in_fi_hh_with_hh_incomes_below_185_percent_fpl,percent_of_children_in_fi_hh_with_hh_incomes_above_185_percent_fpl,zip,latitude,longitude,id,estimate_total_edu_data,estimate_total_less_than_9th_grade,estimate_total_9th_to_12th_grade_no_diploma,estimate_total_high_school_graduate_includes_equivalency,estimate_total_some_college_no_degree,estimate_total_associates_degree,estimate_total_bachelors_degree,estimate_total_graduate_or_professional_degree,estimate_total_hispanic_data,estimate_total_not_hispanic_or_latino,estimate_total_hispanic_or_latino,estimate_total_immigration_data,estimate_total_u_s_citizen,estimate_total_not_a_u_s_citizen,estimate_total_income_data,estimate_total_less_than_20_000,estimate_total_20_000_to_39_999,estimate_total_40_000_to_59_999,estimate_total_60_000_to_99_999,estimate_total_100_000_to_149_999,estimate_total_150_000_to_199_999,estimate_total_200_000_or_more,estimate_total_ins_status_data,estimate_total_under_19_years,estimate_total_under_19_years_with_health_insurance_coverage,estimate_total_under_19_years_no_health_insurance_coverage,estimate_total_19_to_64_years,estimate_total_19_to_64_years_with_health_insurance_coverage,estimate_total_19_to_64_years_no_health_insurance_coverage,estimate_total_65_years_and_over,estimate_total_65_years_and_over_with_health_insurance_coverage,estimate_total_65_years_and_over_no_health_insurance_coverage,estimate_total_race_data,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races
2017,AL,autauga,autauga_AL,0.132,7270,1.3,SNAP,1.85,Other Nutrition Program,0.485,0.144,0.371,3957000,3.19,0.198,2670,0.66,0.34,36003,32.43,-86.65,0500000US01001,37662,1524,4183,11758,7633,3385,6583,2596,55504,54646,858,55504,55315,189,20480,5158,3832,2389,4438,3162,790,711,54262,13899,13541,358,32151,28364,3787,8212,8212,0,null,null,null,null,null,null,null,null
2017,AL,baldwin,baldwin_AL,0.116,23560,1.3,SNAP,1.85,Other Nutrition Program,0.455,0.144,0.401,14361000,3.57,0.189,8480,0.66,0.34,36507,30.88,-87.77,0500000US01003,152037,4192,12126,38283,34307,12054,34927,16148,212628,202953,9675,212628,206458,6170,79120,10903,16194,14404,18613,12190,3665,3151,210224,47959,45864,2095,120319,103068,17251,41946,41923,23,212628,183893,20030,2172,2485,0,1899,2149
2017,AL,barbour,barbour_AL,0.22,5760,1.3,SNAP,1.85,Other Nutrition Program,0.601,0.171,0.229,3035000,3.09,0.276,1520,0.79,0.21,36016,31.88,-85.45,0500000US01005,17614,1617,3069,6333,3579,1368,1218,430,25270,24206,1064,null,null,null,8983,3505,2364,961,1500,564,11,78,22328,5603,5603,0,12308,9670,2638,4417,4417,0,25270,11850,12395,57,0,0,509,459
2017,AL,bibb,bibb_AL,0.143,3240,1.3,SNAP,1.85,Other Nutrition Program,0.459,0.185,0.356,1684000,3.05,0.221,1050,0.84,0.16,35034,32.94,-87.17,0500000US01007,15257,929,1910,7058,2292,482,2156,430,22668,21517,1151,null,null,null,6117,961,1070,1164,1422,1159,154,187,20485,5653,5621,32,11451,9250,2201,3381,3381,0,null,null,null,null,null,null,null,null
2017,AL,blount,blount_AL,0.107,6140,1.3,SNAP,1.85,Other Nutrition Program,0.542,0.206,0.253,3249000,3.1,0.212,2880,0.76,0.24,35013,33.9,-86.51,0500000US01009,39488,3154,4242,15227,7301,4419,3083,2062,58013,52464,5549,58013,56721,1292,20346,3907,5391,3919,3636,1896,746,851,57457,14260,13664,596,32703,27352,5351,10494,10419,75,58013,55588,586,0,514,0,156,1169
2017,AL,bullock,bullock_AL,0.248,2600,1.3,SNAP,1.85,Other Nutrition Program,0.598,0.184,0.217,1432000,3.23,0.279,600,0.71,0.29,36029,32.17,-85.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AL,butler,butler_AL,0.206,4160,1.3,SNAP,1.85,Other Nutrition Program,0.646,0.163,0.191,2075000,2.92,0.247,1130,0.84,0.16,36015,31.66,-86.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AL,calhoun,calhoun_AL,0.157,18100,1.3,SNAP,1.85,Other Nutrition Program,0.549,0.168,0.283,9098000,2.95,0.226,5750,0.8,0.2,36201,33.66,-85.81,0500000US01015,79582,3413,8270,27097,19622,5820,8446,6914,114728,110427,4301,114728,113259,1469,44507,9851,9609,8496,8440,5091,1950,1070,113033,27001,26734,267,66578,54659,11919,19454,19404,50,114728,85146,24183,254,1176,0,2108,1861
2017,AL,chambers,chambers_AL,0.179,6070,1.3,SNAP,1.85,Other Nutrition Program,0.589,0.223,0.188,2961000,2.86,0.221,1610,0.85,0.15,36852,32.75,-85.23,0500000US01017,22949,2038,2684,7384,6147,1588,2290,818,33713,33249,464,33713,33321,392,13553,2940,4275,2356,2567,1207,46,162,33264,7572,7228,344,19413,15148,4265,6279,6217,62,33713,19027,13699,141,405,0,147,294
2017,AL,cherokee,cherokee_AL,0.125,3230,1.3,SNAP,1.85,Other Nutrition Program,0.559,0.223,0.218,1794000,3.25,0.206,1070,0.83,0.17,35959,34.22,-85.59,0500000US01019,18906,1810,1821,8207,3640,1029,1000,1399,27329,27101,228,27329,27329,0,11000,2862,1726,1616,3025,791,445,535,27060,7020,6902,118,14175,12652,1523,5865,5865,0,null,null,null,null,null,null,null,null
2017,AL,chilton,chilton_AL,0.131,5740,1.3,SNAP,1.85,Other Nutrition Program,0.613,0.161,0.226,3031000,3.09,0.221,2330,0.89,0.12,35045,32.84,-86.62,0500000US01021,29408,1338,2772,14773,4796,1738,2746,1245,44067,42962,1105,44067,43859,208,16618,3559,3537,2885,3811,1298,930,598,43719,11411,10970,441,25145,21408,3737,7163,7081,82,null,null,null,null,null,null,null,null
2017,AL,choctaw,choctaw_AL,0.195,2570,1.3,SNAP,1.85,Other Nutrition Program,0.571,0.219,0.211,1303000,2.97,0.246,660,0.74,0.26,36904,32.08,-88.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AL,clarke,clarke_AL,0.229,5640,1.3,SNAP,1.85,Other Nutrition Program,0.607,0.165,0.227,2843000,2.95,0.257,1420,0.74,0.26,36436,31.76,-87.71,0500000US01025,16965,1406,1059,7615,3135,1566,1454,730,24351,24129,222,24351,24351,0,8746,3244,1952,1354,1009,659,401,127,24070,5103,5068,35,14031,11143,2888,4936,4820,116,null,null,null,null,null,null,null,null
2017,AL,clay,clay_AL,0.145,1940,1.3,SNAP,1.85,Other Nutrition Program,0.605,0.171,0.224,1025000,3.09,0.215,620,0.91,0.09,35082,33.18,-86.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AL,cleburne,cleburne_AL,0.135,2020,1.3,SNAP,1.85,Other Nutrition Program,0.524,0.219,0.257,1023000,2.97,0.24,830,0.78,0.22,36261,33.7,-85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AL,coffee,coffee_AL,0.142,7240,1.3,SNAP,1.85,Other Nutrition Program,0.488,0.176,0.336,4165000,3.37,0.219,2660,0.69,0.31,36034,31.66,-86.17,0500000US01031,36251,1564,4050,9841,7736,4488,5672,2900,51874,48190,3684,51874,50046,1828,20511,2841,4197,4307,4469,3368,810,519,50106,13058,11880,1178,29063,24272,4791,7985,7985,0,51874,40005,9049,758,1034,0,0,1028
2017,AL,colbert,colbert_AL,0.147,8000,1.3,SNAP,1.85,Other Nutrition Program,0.516,0.151,0.333,3787000,2.77,0.222,2600,0.71,0.29,35616,34.75,-87.96,0500000US01033,38275,1412,3071,13570,9444,3436,4111,3231,54500,53111,1389,54500,53487,1013,21826,4602,4654,4149,5434,2142,481,364,54072,12624,11758,866,31272,28100,3172,10176,10176,0,54500,42907,8804,227,330,0,1014,1218
2017,AL,conecuh,conecuh_AL,0.209,2650,1.3,SNAP,1.85,Other Nutrition Program,0.646,0.237,0.117,1326000,2.93,0.263,730,0.82,0.18,36401,31.43,-86.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AL,coosa,coosa_AL,0.157,1720,1.3,SNAP,1.85,Other Nutrition Program,0.568,0.269,0.162,977000,3.33,0.197,380,0.97,0.03,35072,33.06,-86.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
